,prices,hour,day,week,month,weekend,rsi,roc
12068,58.01,20,5,19,4,1,48.15362270615326,4.963958060288338
12069,59.96,21,5,19,4,1,54.599806956060156,-1.5582655826558294
12070,64.08,22,5,19,4,1,65.48118745509458,-14.367303230412274
12071,59.93,23,5,19,4,1,50.77215722829273,-6.979650124955366
12072,53.99,0,6,19,4,1,36.63685088143856,6.769124503539967
12073,31.95,1,6,19,4,1,16.358565777564863,42.95661489019818
12074,29.91,2,6,19,4,1,15.41113490291491,48.43992415100845
12075,23.59,3,6,19,4,1,12.680793804425178,60.65710473649099
12076,28.93,4,6,19,4,1,25.977691676410288,54.85330836454432
12077,29.94,5,6,19,4,1,28.450599432070277,50.04171533455698
12078,9.18,6,6,19,4,1,15.597830325654243,82.99685126875347
12079,26.7,7,6,19,4,1,42.09122717987682,16.431924882629108
12080,33.0,8,6,19,4,1,48.99917332906756,-10.33099297893681
12081,46.0,9,6,19,4,1,60.628831196674845,-94.99788045782111
12082,59.01,10,6,19,4,1,69.09265498835799,-103.97511234013135
12083,61.93,11,6,19,4,1,70.78423435280064,-106.84702738810954
12084,66.4,12,6,19,4,1,73.4532323330902,-623.3115468409587
12085,57.74,13,6,19,4,1,60.58576232431462,-116.25468164794009
12086,49.82,14,6,19,4,1,50.81624025674118,-50.969696969696976
12087,45.04,15,6,19,4,1,45.50226291831449,2.086956521739132
12088,44.93,16,6,19,4,1,45.37124102783845,23.860362650398233
12089,49.95,17,6,19,4,1,52.812258667111394,19.34442112062005
12090,56.38,18,6,19,4,1,60.98131872063668,15.090361445783135
12091,59.96,19,6,19,4,1,65.02647751292115,-3.8448216141323153
12092,60.0,20,6,19,4,1,65.07502394476641,-20.433560818948212
12093,65.96,21,6,19,4,1,72.01951843884031,-46.44760213143871
12094,69.32,22,6,19,4,1,75.33710887445842,-54.2844424660583
12095,60.91,23,6,19,4,1,55.553115096941504,-21.941941941941927
12096,47.29,0,0,20,4,0,36.78163820792041,16.122738559772976
12097,33.53,1,0,20,4,0,26.092751448011953,44.07938625750501
12098,30.0,2,0,20,4,0,23.950123875303532,50.0
12099,20.96,3,0,20,4,0,19.1241592454667,68.22316555488173
12100,22.59,4,0,20,4,0,22.50295495286234,67.41200230813618
12101,36.33,5,0,20,4,0,45.52413698136653,40.35462157281234
12102,54.39,6,0,20,4,0,62.90496657496104,-15.013744977796579
12103,80.94,7,0,20,4,0,76.26452956106554,-141.39576498657917
12104,85.77,8,0,20,4,0,77.99462148841457,-185.89999999999998
12105,91.26,9,0,20,4,0,79.98457367056707,-335.4007633587787
12106,95.5,10,0,20,4,0,81.5323236615267,-322.7534307215582
12107,102.0,11,0,20,4,0,83.83225171345129,-180.75970272502067
12108,111.0,12,0,20,4,0,86.60417845340848,-104.08163265306123
12109,92.92,13,0,20,4,0,61.277822932810324,-14.801087225105022
12110,89.94,14,0,20,4,0,57.927273538011576,-4.861839804127319
12111,85.3,15,0,20,4,0,52.557787307206134,6.53079114617577
12112,80.96,16,0,20,4,0,47.6049428621713,15.225130890052363
12113,74.95,17,0,20,4,0,41.15948805011966,26.51960784313725
12114,74.98,18,0,20,4,0,41.20716998981167,32.45045045045045
12115,70.09,19,0,20,4,0,35.56922622785622,24.569522169608263
12116,70.0,20,0,20,4,0,35.462067660010106,22.170335779408493
12117,68.94,21,0,20,4,0,34.013789106490535,19.179366940211022
12118,69.06,22,0,20,4,0,34.377867587991915,14.698616600790505
12119,61.5,23,0,20,4,0,24.258924409908943,17.945296864576388
12120,51.09,0,1,20,4,0,16.320923653271237,31.861829821285674
12121,45.9,1,1,20,4,0,13.648926638525964,34.51276929661864
12122,39.06,2,1,20,4,0,10.841796861293815,44.199999999999996
12123,34.99,3,1,20,4,0,9.453517192471878,49.24572091673919
12124,33.31,4,1,20,4,0,8.889674842629361,51.7665797856936
12125,46.9,5,1,20,4,0,42.29760331324253,23.739837398373986
12126,69.04,6,1,20,4,0,66.39031871712245,-35.13407711880995
12127,82.29,7,1,20,4,0,74.14351654858703,-79.28104575163401
12128,92.93,8,1,20,4,0,78.84589982187379,-137.91602662570406
12129,98.01,9,1,20,4,0,80.8420821292708,-180.1086024578451
12130,105.0,10,1,20,4,0,83.42470823483248,-215.22065445812063
12131,119.56,11,1,20,4,0,87.6022553881208,-154.92537313432834
12132,98.0,12,1,20,4,0,60.50522550294761,-41.946697566628025
12133,95.58,13,1,20,4,0,58.08520104525565,-16.15020051039007
12134,92.92,14,1,20,4,0,55.174403279841385,0.010760787689664387
12135,87.5,15,1,20,4,0,49.15179255728859,10.723395571880424
12136,79.1,16,1,20,4,0,40.85748677106811,24.66666666666667
12137,74.06,17,1,20,4,0,36.43113541506999,38.05620608899297
12138,73.51,18,1,20,4,0,35.92152025003627,24.989795918367342
12139,71.18,19,1,20,4,0,33.536654939791276,25.528353211969023
12140,70.09,20,1,20,4,0,32.331649966273545,24.569522169608263
12141,71.18,21,1,20,4,0,35.12871672645369,18.651428571428564
12142,69.06,22,1,20,4,0,32.03790881604807,12.692793931731975
12143,62.93,23,1,20,4,0,24.544627529838593,15.028355387523632
12144,50.23,0,2,20,4,0,15.52006835713307,31.66916065841383
12145,40.42,1,2,20,4,0,11.575118217050104,43.21438606350099
12146,33.65,2,2,20,4,0,9.562274704919915,51.99029818804395
12147,29.12,3,2,20,4,0,8.390691564522399,59.089631919078386
12148,28.77,4,2,20,4,0,8.29644725385171,58.340573414422245
12149,32.1,5,2,20,4,0,18.719632980920863,48.99094231686
12150,53.35,6,2,20,4,0,56.54345712517356,-6.211427433804509
12151,72.07,7,2,20,4,0,70.87236652787017,-78.30282038594753
12152,88.0,8,2,20,4,0,78.20937255928843,-161.51560178306093
12153,96.48,9,2,20,4,0,81.22965317211722,-231.31868131868129
12154,98.9,10,2,20,4,0,82.08022477069396,-243.76086200903723
12155,114.02,11,2,20,4,0,86.62451288387321,-255.20249221183798
12156,94.06,12,2,20,4,0,61.7987345054482,-76.3074039362699
12157,88.05,13,2,20,4,0,55.999854182521844,-22.172887470514784
12158,91.57,14,2,20,4,0,58.722125032605916,-4.056818181818174
12159,84.99,15,2,20,4,0,51.56560616553879,11.90920398009951
12160,76.86,16,2,20,4,0,43.673945803272744,22.28513650151669
12161,71.62,17,2,20,4,0,39.051536751458,37.18645851604981
12162,74.04,18,2,20,4,0,42.42844476581473,21.28428662555815
12163,72.04,19,2,20,4,0,40.21851545260512,18.182850653038038
12164,66.22,20,2,20,4,0,34.02914421802525,27.6837392159004
12165,69.73,21,2,20,4,0,40.64030247626168,17.955053535710075
12166,65.99,22,2,20,4,0,36.024293547051506,14.142596929482181
12167,56.01,23,2,20,4,0,26.41647554398007,21.79558782463
12168,52.97,0,3,20,4,0,24.069932841842714,28.457590491626156
12169,45.0,1,3,20,4,0,18.81257237244725,37.53470294280955
12170,37.0,2,3,20,4,0,14.89407667897548,44.12564180006041
12171,32.5,3,3,20,4,0,13.058145244306232,53.39165352072279
12172,29.63,4,3,20,4,0,11.932444567991979,55.099257463252016
12173,36.5,5,3,20,4,0,29.411935891261308,34.83306552401357
12174,45.99,6,3,20,4,0,46.88656477379216,13.177270152916739
12175,60.54,7,3,20,4,0,63.50757563377982,-34.53333333333333
12176,71.73,8,3,20,4,0,71.68502061790835,-93.86486486486487
12177,78.0,9,3,20,4,0,75.39266592179433,-140.0
12178,80.0,10,3,20,4,0,76.56715929718254,-169.996625042187
12179,88.08,11,3,20,4,0,80.97044816733279,-141.31506849315068
12180,81.99,12,3,20,4,0,69.20804649372965,-78.27788649706456
12181,75.0,13,3,20,4,0,57.669374387791535,-23.885034687809714
12182,98.62,14,3,20,4,0,74.74391987056984,-37.48780147776384
12183,94.93,15,3,20,4,0,69.48931331040228,-21.70512820512821
12184,90.0,16,3,20,4,0,62.45046204422171,-12.5
12185,75.0,17,3,20,4,0,45.58973147601325,14.850136239782014
12186,68.0,18,3,20,4,0,39.60219685197492,17.06305647030125
12187,65.09,19,3,20,4,0,37.1671019178657,13.21333333333333
12188,64.0,20,3,20,4,0,36.16749376576451,35.10444128979923
12189,62.94,21,3,20,4,0,35.066895010856356,33.698514695038455
12190,63.1,22,3,20,4,0,35.4228416492528,29.888888888888886
12191,57.03,23,3,20,4,0,28.348333998399582,23.959999999999997
12192,50.98,0,4,20,4,0,22.882420903645695,25.029411764705888
12193,46.42,1,4,20,4,0,19.484487369065747,28.683361499462283
12194,31.93,2,4,20,4,0,12.440324306608233,50.109375
12195,26.41,3,4,20,4,0,10.675921546268171,58.039402605656186
12196,29.27,4,4,20,4,0,17.91430685826522,53.61331220285261
12197,35.37,5,4,20,4,0,32.01475372402656,37.98001052077854
12198,52.52,6,4,20,4,0,56.95874216675623,-3.020792467634379
12199,70.0,7,4,20,4,0,70.29087500996192,-50.79707022834984
12200,77.92,8,4,20,4,0,74.57313046932482,-144.0338239899781
12201,84.0,9,4,20,4,0,77.55362645095487,-218.0613404013631
12202,87.93,10,4,20,4,0,79.42438874979815,-200.40997608472844
12203,95.0,11,4,20,4,0,82.56186574028969,-168.58919988690982
12204,96.07,12,4,20,4,0,83.03177060421636,-82.9207920792079
12205,83.95,13,4,20,4,0,60.772267991792326,-19.92857142857143
12206,79.92,14,4,20,4,0,54.89973974097198,-2.5667351129363447
12207,74.0,15,4,20,4,0,46.90920805437464,11.904761904761903
12208,68.45,16,4,20,4,0,40.30896979056889,22.15398612532697
12209,68.0,17,4,20,4,0,39.76459395203774,28.421052631578945
12210,68.07,18,4,20,4,0,39.91606244381703,29.14541480170709
12211,66.26,19,4,20,4,0,37.02703803051832,21.072066706372837
12212,61.95,20,4,20,4,0,30.681601739542714,22.484984984984983
12213,62.88,21,4,20,4,0,33.62684975011858,15.027027027027023
12214,64.55,22,4,20,4,0,39.19401895085329,5.6975894813732735
12215,62.09,23,4,20,4,0,34.13321951990646,8.69117647058823
12216,61.25,0,5,20,4,1,32.41803278361151,10.019097987365939
12217,54.05,1,5,20,4,1,21.371875080608163,18.42740718382132
12218,50.0,2,5,20,4,1,17.37550431331661,19.289749798224378
12219,40.0,3,5,20,4,1,11.180784700461032,36.386768447837156
12220,31.86,4,5,20,4,1,8.2928187931074,50.64291247095275
12221,32.45,5,5,20,4,1,10.307855845889605,47.73715574166532
12222,40.05,6,5,20,4,1,33.04772091848419,34.61224489795919
12223,50.0,7,5,20,4,1,52.11923874971703,7.493061979648469
12224,57.5,8,5,20,4,1,61.92855403521644,-15.0
12225,64.93,9,5,20,4,1,69.38484581396712,-62.32500000000002
12226,69.88,10,5,20,4,1,73.52945872735057,-119.33458882611423
12227,75.79,11,5,20,4,1,77.82961540706732,-133.5593220338983
12228,74.63,12,5,20,4,1,74.96140549046288,-86.34207240948814
12229,67.24,13,5,20,4,1,58.48453331400829,-34.47999999999999
12230,61.63,14,5,20,4,1,48.7276298476015,-7.182608695652179
12231,58.08,15,5,20,4,1,43.24875559182105,10.549822886185133
12232,56.0,16,5,20,4,1,40.08019443873417,19.862621637092154
12233,55.0,17,5,20,4,1,38.454806549427474,27.43105950653121
12234,56.94,18,5,20,4,1,43.76395585571592,23.703604448613156
12235,55.29,19,5,20,4,1,40.222638754316655,17.77215942891136
12236,54.65,20,5,20,4,1,38.76268411249601,11.325653091027103
12237,56.02,21,5,20,4,1,43.985350299847354,3.546831955922857
12238,62.09,22,5,20,4,1,61.4607951950635,-10.875000000000005
12239,62.02,23,5,20,4,1,61.196588133265294,-12.763636363636369
12240,27.0,0,6,20,4,1,17.090448327385474,52.58166491043204
12241,18.03,1,6,20,4,1,13.991036553121589,67.3901247965274
12242,12.0,2,6,20,4,1,12.205432685323288,78.04208600182983
12243,9.08,3,6,20,4,1,11.362747483451372,83.7915030346305
12244,8.18,4,6,20,4,1,11.079813228236091,86.82557577709777
12245,8.05,5,6,20,4,1,11.032197951736805,87.02031602708803
12246,7.09,6,6,20,4,1,10.627479258778806,73.74074074074073
12247,9.06,7,6,20,4,1,18.032232083294318,49.750415973377706
12248,19.0,8,6,20,4,1,45.415165100592596,-58.333333333333336
12249,30.88,9,6,20,4,1,63.096518298782364,-240.08810572687221
12250,37.68,10,6,20,4,1,69.81294099203257,-360.6356968215159
12251,47.27,11,6,20,4,1,76.92134513346542,-487.2049689440993
12252,48.57,12,6,20,4,1,77.77276303698589,-585.049365303244
12253,35.1,13,6,20,4,1,53.31614056721563,-287.4172185430463
12254,28.0,14,6,20,4,1,44.47077734878,-47.368421052631575
12255,24.3,15,6,20,4,1,40.29068183671776,21.30829015544041
12256,24.32,16,6,20,4,1,40.32706482798236,35.45647558386412
12257,33.33,17,6,20,4,1,55.11310537020747,29.49016289401312
12258,41.5,18,6,20,4,1,64.64542549399238,14.556310479719992
12259,44.9,19,6,20,4,1,68.03532947270514,-27.920227920227912
12260,45.4,20,6,20,4,1,68.56718947345907,-62.14285714285713
12261,48.85,21,6,20,4,1,72.3733389007956,-101.02880658436213
12262,49.98,22,6,20,4,1,73.62844089766779,-105.50986842105262
12263,35.0,23,6,20,4,1,42.73984450058807,-5.010501050105016
12264,40.7,0,0,21,4,0,51.94507667547958,1.9277108433734873
12265,26.0,1,0,21,4,0,34.68752288281544,42.093541202672604
12266,16.02,2,0,21,4,0,27.298753472439884,64.7136563876652
12267,9.93,3,0,21,4,0,23.615262563898654,79.67246673490277
12268,10.5,4,0,21,4,0,24.755590678970094,78.99159663865547
12269,19.96,5,0,21,4,0,42.00001344839396,42.971428571428575
12270,49.66,6,0,21,4,0,68.87440516885476,-22.014742014741998
12271,74.49,7,0,21,4,0,78.75167575792248,-186.49999999999997
12272,83.58,8,0,21,4,0,81.35143494327262,-421.7228464419476
12273,89.9,9,0,21,4,0,83.07876357203477,-805.3373615307149
12274,90.62,10,0,21,4,0,83.29035277203607,-763.0476190476192
12275,98.61,11,0,21,4,0,85.6755998681544,-394.0380761523046
12276,95.8,12,0,21,4,0,80.80750980062899,-92.91180024164318
12277,91.99,13,0,21,4,0,73.96914951906959,-23.493086320311452
12278,89.0,14,0,21,4,0,68.50933993649821,-6.4848049772672915
12279,83.7,15,0,21,4,0,59.212669431167186,6.896551724137934
12280,74.0,16,0,21,4,0,45.61746086718033,18.34032222467447
12281,71.82,17,0,21,4,0,42.9574942854986,27.16763005780348
12282,71.18,18,0,21,4,0,42.092809704627676,25.699373695198318
12283,70.0,19,0,21,4,0,40.29813001966942,23.90477225785411
12284,63.01,20,0,21,4,0,30.92532276187511,29.20224719101124
12285,63.03,21,0,21,4,0,30.980440456203652,24.695340501792113
12286,68.0,22,0,21,4,0,44.24674701152859,8.108108108108109
12287,62.01,23,0,21,4,0,34.62213258666915,13.659147869674179
12288,50.0,0,1,21,4,0,22.72749894378076,29.75554931160439
12289,40.07,1,1,21,4,0,16.949855444215316,42.75714285714285
12290,28.52,2,1,21,4,0,12.510742749770273,54.73734327884462
12291,20.96,3,1,21,4,0,10.376262343116423,66.74599397112486
12292,23.99,4,1,21,4,0,17.172748081579243,64.72058823529413
12293,29.25,5,1,21,4,0,28.472272100998538,52.83018867924528
12294,48.0,6,1,21,4,0,54.83098850735652,4.0
12295,68.92,7,1,21,4,0,69.75406802268564,-71.99900174694285
12296,78.28,8,1,21,4,0,74.31089247336058,-174.47405329593272
12297,86.99,9,1,21,4,0,78.01034380591922,-315.02862595419845
12298,92.01,10,1,21,4,0,80.00211387185747,-283.53480616923724
12299,100.01,11,1,21,4,0,82.95464409228681,-241.91452991452996
12300,93.08,12,1,21,4,0,71.91722186379526,-93.91666666666666
12301,87.06,13,1,21,4,0,63.15739250198864,-26.3203714451538
12302,86.18,14,1,21,4,0,61.83617955608597,-10.09197751660706
12303,76.16,15,1,21,4,0,48.09030304101217,12.449706862857798
12304,71.1,16,1,21,4,0,42.3812092935087,22.72579067492665
12305,69.08,17,1,21,4,0,40.10064103943749,30.92690730926908
12306,68.0,18,1,21,4,0,38.7624009627112,26.944563816072193
